Product ID,Active (0/1),Name *,"Categories (x,y,z...)",Price tax excluded,Tax rules ID,Price tax included,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,MPN,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Receive a low stock alert by email,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,"Acessories  (x,y,z...)"
146,1,Vinagre Balsamico Cabernet Sauvignon 250ml,Olive Oil & Vinegar,59,,59,0,,,,,,,,Castillo de canena,,,,,,,,250,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,VINAGRE JEREZ RSVA,Olive Oil & Vinegar,89,,89,0,,,,,,,,Barbadillo,,,,,,,,250,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
149,1,VINAGRE JEREZ RSVA PX,Olive Oil & Vinegar,89,,89,0,,,,,,,,Barbadillo,,,,,,,,250,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
150,1,VINAGRE JEREZ RSVA MCTE,Olive Oil & Vinegar,89,,89,0,,,,,,,,Barbadillo,,,,,,,,250,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
151,1,VINAGRE JEREZ RSVA ECOLOGICO,Olive Oil & Vinegar,89,,89,0,,,,,,,,Barbadillo,,,,,,,,250,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1,LB30-SARDINILLAS AO,Fish & Seafood,19,,19,0,,,,,,,,La Brujula,,,,,,,,130,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
154,1,LB35-SARDINAS GUISADAS,Fish & Seafood,29,,29,0,,,,,,,,La Brujula,,,,,,,,130,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
155,1,LB122-SARDINA DO XEITO,Fish & Seafood,35,,35,0,,,,,,,,La Brujula,,,,,,,,130,,,200,1,0,0,both,,,,,,,,,,,In Stock,,1,,,1,/home/toxa/projects/desabor/img/import_images/file.jpg,,0,,0,new,0,0,0,0,0,,,,,0,0,0,0,
