Product ID,Active (0/1),Name *,"Categories (x,y,z...)",Price tax excluded,Tax rules ID,Price tax included,On sale (0/1),Discount amount,Discount percent,Discount from (yyyy-mm-dd),Discount to (yyyy-mm-dd),Reference #,Supplier reference #,Supplier,Manufacturer,EAN13,UPC,MPN,Ecotax,Width,Height,Depth,Weight,Delivery time of in-stock products,Delivery time of out-of-stock products with allowed orders,Quantity,Minimal quantity,Low stock level,Receive a low stock alert by email,Visibility,Additional shipping cost,Unity,Unit price,Summary,Description,"Tags (x,y,z...)",Meta title,Meta keywords,Meta description,URL rewritten,Text when in stock,Text when backorder allowed,"Available for order (0 = No, 1 = Yes)",Product available date,Product creation date,"Show price (0 = No, 1 = Yes)","Image URLs (x,y,z...)","Image alt texts (x,y,z...)","Delete existing images (0 = No, 1 = Yes)",Feature(Name:Value:Position),"Available online only (0 = No, 1 = Yes)",Condition,"Customizable (0 = No, 1 = Yes)","Uploadable files (0 = No, 1 = Yes)","Text fields (0 = No, 1 = Yes)",Out of stock action,Virtual product,File URL,Number of allowed downloads,Expiration date,Number of days,ID / Name of shop,Advanced stock management,Depends On Stock,Warehouse,"Acessories  (x,y,z...)"
75,1,Vega Medien ecological Brut,Wine Cellar; Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Sparklin,,,,,,,,,,,,,,,,
76,1,Vega Medien Brut Nature,Wine Cellar; Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Sparklin,,,,,,,,,,,,,,,,
77,1,Vega Medien ecological Rose,Wine Cellar; Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Sparklin,,,,,,,,,,,,,,,,
78,1,"Vega Medien ecological. 0,0%",Wine Cellar; Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Sparklin,,,,,,,,,,,,,,,,
79,1,Lagrima Real 2017,Wine Cellar; Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Sparklin,,,,,,,,,,,,,,,,
80,1,Larrua 2022,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
81,1,Mania 2022,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
82,1,Carrasviñas 2022,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
83,1,Carrasviñas Barrica,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
84,1,Romero Sauvignon Blanc 2021,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
85,1,Castroviejo Joven 2021,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
86,1,Castroviejo Tempranillo Blanco 2020,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
87,1,Castroviejo Crianza,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
88,1,Castroviejo Reserva 2016,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
89,1,Castroviejo Gran Reserva 2016,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
90,1,Antidoto 2023,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
91,1,La Hormiga 2020,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
92,1,Roselito 2022,Wine Cellar; Rose Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Rose,,,,,,,,,,,,,,,,
93,1,Le Rose 2020,Wine Cellar; Rose Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Rose,,,,,,,,,,,,,,,,
94,1,Surcamares White,Wine Cellar; White Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Blanco,,,,,,,,,,,,,,,,
95,1,PINOT NOIR 2020,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
96,1,PAVINA  Pinot Noir & Tempranillo 2019,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
97,1,CITIUS  Pinot Noir 2017,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
98,1,ROSE  Pinot Noir 2021,Wine Cellar; Rose Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Rose,,,,,,,,,,,,,,,,
99,1,Luna Beberide Tinto Mencía 2021,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
100,1,ART Luna Berberide 2020,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
101,1,Paixar 2020,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
102,1,Opta 2017,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
103,1,Classic 2015,Wine Cellar; Red Wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Size: 750 ml; Type: Tinto,,,,,,,,,,,,,,,,
